Date,Stock_symbol,Open,High,Low,Close,Volume,Daily_Return,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_20,Volatility_20_annualized,AvgSentiment,AvgConfidence,HeadlineCount,Tomorrow_Close,TomorrowUp
2019-04-18,GOOGL,61.70286688717368,61.749454667918044,61.42582443060691,61.52791976928711,24750000,0.0010724374089803,60.470000457763675,59.86432056427002,60.64617145826579,60.03189627419311,68.58831716705377,0.8236129640868626,0.750564445072817,0.0730485190140455,0.0089219782898673,0.1416320145462376,0.0,0.917097181081772,2.0,62.13701629638672,1
2019-04-22,GOOGL,61.29002693191078,62.165760741296786,61.12647625838535,62.13701629638672,19084000,0.0098995143892977,60.679691314697266,59.97858219146728,60.917234156105955,60.2323838953544,71.9361840424486,0.8923611495462822,0.7789237859675101,0.1134373635787721,0.0072861174061986,0.1156635280801237,0.0,0.6777687072753906,1.0,62.97111892700195,1
2019-04-23,GOOGL,62.279751130770016,63.1614327114639,62.04830201170659,62.97111892700195,31868000,0.0134236028752436,60.988502502441406,60.1599983215332,61.290667750814315,60.49321580313036,75.74808088130823,1.0025924317695925,0.8236575151279266,0.1789349166416658,0.0072878773830436,0.1156914668463935,0.25,0.8012915700674057,4.0,62.448753356933594,0
2019-04-24,GOOGL,62.97112184100096,63.14012496632759,62.43686158073098,62.448753356933594,23396000,-0.0082953198064322,61.27278137207031,60.3339807510376,61.501228770108725,60.67945747492114,69.3912740652416,1.0358602292693604,0.8660980579562134,0.1697621713131469,0.0074342186867921,0.1180145630239273,1.0,0.713325560092926,1.0,62.8100471496582,1
2019-04-25,GOOGL,62.9567451492081,63.08064648305482,62.34715270413668,62.8100471496582,31344000,0.0057854444372906,61.5745548248291,60.55534267425537,61.73919574820863,60.88237077727705,71.19201368718376,1.0789412252569548,0.9086666914163616,0.1702745338405931,0.0068102527412431,0.1081094107129521,0.0,0.778245210647583,2.0,63.30961990356445,1
2019-04-26,GOOGL,63.10939566577657,63.38346613255993,62.69407963400979,63.30961990356445,27228000,0.0079537076722122,61.91072425842285,60.815907096862794,62.02472741281878,61.113537360733,73.51245359480198,1.1402504734191723,0.954983447816924,0.1852670256022484,0.0065615230983368,0.1041609500400317,0.0,0.0,0.0,64.24036407470703,1
2019-04-29,GOOGL,63.46275914712026,64.27853119264928,63.026627793364206,64.24036407470703,72368000,0.0147014651574328,62.274845123291016,61.11156044006348,62.427570442253,61.41133038111147,77.19759635776639,1.249537875535765,1.0138943333606922,0.2356435421750726,0.006957618022157,0.1104487620240511,-0.25,0.8638816997408867,8.0,59.421104431152344,0
2019-04-30,GOOGL,59.0082650592432,59.52121466086454,58.63011791265546,59.421104431152344,133178000,-0.0750191832342392,62.13820686340332,61.11151123046875,61.88094025841651,61.221785052543936,43.47212012197238,0.9364797959357318,0.9984114258757002,-0.0619316299399683,0.0187330821956233,0.2973784606761077,-0.3571428571428571,0.7892804230962481,14.0,58.15037155151367,0
2019-05-01,GOOGL,59.348745012660174,59.43547746773501,58.06909154217159,58.15037155151367,74340000,-0.0213852113959105,61.847832107543944,61.03166942596435,61.202655038979636,60.92926948101724,38.67438414250445,0.5791652326775107,0.9145621872360624,-0.3353969545585515,0.0192876693664225,0.3061822590815573,-0.25,0.729081004858017,8.0,57.812862396240234,0
2019-05-02,GOOGL,58.11468664076694,58.45070777675976,57.40745681106529,57.812862396240234,45098000,-0.0058040756450618,61.48291778564453,60.92189273834229,60.58632910393611,60.63246880627658,37.49088700041032,0.265693944431419,0.7847885386751337,-0.5190945942437146,0.0192680067833574,0.3058701252520168,-0.25,0.8431649059057236,4.0,58.95473861694336,1
2019-05-03,GOOGL,58.35307144991088,59.046424401851816,58.161770768787754,58.95473861694336,41588000,0.0197512486559978,61.225599670410155,60.84780006408691,60.28967628811924,60.472684978721034,43.761314130557714,0.1081587710248328,0.6494625851450735,-0.5413038141202406,0.0197716590752486,0.3138653575215669,0.0,0.0,0.0,59.14851760864258,1
