Stock_symbol,Date,Headlines,Headline_count
AAPL,2020-04-02,"['Coronavirus Outbreak Updated: Keep Up With The Latest Headlines', 'Credit Suisse Compiles List Of Corporations With Most And Least Cash', 'A Peek Into The Markets: US Stock Futures Gain, Jobless Claims In Focus', 'Amazon Offers Prime Video Purchases On iOS As Apple Foregoes 30% Third-Party Tax']",4
AAPL,2020-04-03,"['Roland Garros Is Giving Us Hope – Shall We Dare to Dream?', 'Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $298', 'Credit Suisse Maintains Neutral on Apple, Lowers Price Target to $260', 'Apple Accidentally Confirms Unreleased Product That Helps Users Find Lost Items', 'Apple Tells Staff U.S. Stores to Remain Closed Until Early May']",5
AAPL,2020-04-04,"['Apple Said to be Likely Buyer of AR/VR Company NextVR for ~$100M', ""Barron's Picks And Pans: Post-Pandemic Ideas, Safe Dividends And More""]",2
AAPL,2020-04-05,['Apple To Make 1M Face Shields Per Week For Coronavirus Health Workers'],1
AAPL,2020-04-06,"['3M, Trump Strike Deal To Import 166.5M Masks From China, Company To Continue To Supply Abroad', 'Investor Movement Index Summary: March 2020', ""Apple's iPhone 9 Launch Could Be Imminent"", 'Apple Rumored To Be Eyeing $100M Acquisition Of AR, VR Company NextVR', 'Apple shares are trading higher potentially due to the company announcing it would produce 1 million face shields per week for healthcare workers.']",5
AAPL,2020-04-07,"['Shares of several technology, semiconductor, and software companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity.', 'Microsoft Hires ex-Apple Exec Caballero in Charge of Wireless for Hardware']",2
AAPL,2020-04-08,"['Disney Shares Climb 7% As Video On Demand Service Crosses 50M Subscribers', 'Netflix, YouTube, Disney+: Which Video Streaming Platform Do Teens Watch The Most?', 'The Show Must Go On – Event Industry Rising To The Challenge Of COVID-19', 'Global Payments Firm Papaya Global Publishes International COVID-19 Crisis Guides For Employers', 'Watching Apple Shares; Hearing Traders Circulating Word Of Earlier Article From China Publication Suggesting Apple Cut Orders From China Suppliers', 'Shares of several technology companies are trading higher amid overall market strength on optimism that US coronavirus cases could soon leveling off. NOTE: Some names in the sector have potentially benefited from recent work-at-home trends.', '10 Biggest Price Target Changes For Wednesday', 'JP Morgan Maintains Overweight on Apple, Lowers Price Target to $335', 'Hearing Piper Sandler Raised Apple Price Target From $260 To $300; Unconfirmed', 'iPhone Maker Foxconn To Produce Ventilators In US']",10
AAPL,2020-04-09,"['Communications Services Sector Earnings: When Staying In Becomes The Trend', 'Will FANG Lead The Market Rebound?', ""Apple At A 'Fork In The Road' As Disney+ Reports 50M Subscribers"", 'Nomura Maintains Neutral on Apple, Raises Price Target to $240', '2 Companies Well Positioned To Weather The Coronavirus Storm']",5
AAPL,2020-04-11,"[""Benzinga's Bulls And Bears Of The Week: Apple, Disney, Intel And More""]",1
AAPL,2020-04-12,"[""Apple's Stock Will Outperform Other FAANG Stocks In 2020, Long-Term Future 'Among The Brightest', Munster Says""]",1
AAPL,2020-04-13,"[""IDC Issues PC Report For Q1, Shows 'Sharp Decline in Q1 2020 Despite Increased Demand to Meet Remote Work and School Needs'"", 'Commentary: Why Supply Chains Are Weaker Than Their Weakest Link', 'Apple Reportedly Planning Major iPhone Design Overhaul For Fall Launches', 'Raymond James Maintains Outperform on Apple, Lowers Price Target to $305', 'Apple And Google Team Up To Build Bluetooth Solution To Tackle COVID-19 Pandemic', 'Bloomberg Reports iPhone 12 to Feature Redesigned Stainless Steel Chasis, Cheaper Homepod to be Out Later This Year']",6
AAPL,2020-04-14,"['Apple Makes Available Its Mobility Data To Aid In Coronavirus Efforts, Says Trends Tool From Apple Maps Can Help Mitigate Spread Of Virus', 'Apple shares are trading higher after it was reported the company shipped 2.5 million iPhones in China in March.', 'JPMorgan, Wells Fargo Earnings Lower Than Expected, But Positive Tone Helps Shares', 'Apple And Google Give Details On Their Joint Coronavirus Contact Tracing Tool', 'Apple Shipped 2.5M iPhones in China in March']",5
