Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-05-19 00:00:00 UTC,Sony To Convert Its Financial Subsidiary Into Wholly Owned Unit Through $3.7B Tender Offer,AAPL,https://www.benzinga.com/fintech/20/05/16061824/sony-to-convert-its-financial-subsidiary-into-wholly-owned-unit-through-3-7b-tender-offer,Shivdeep Dhaliwal,,,,,,
2020-05-15 00:00:00 UTC,13F From Buffett's Berkshire Shows Maintained Stake In Apple,AAPL,https://www.benzinga.com/news/20/05/16048421/13f-from-buffetts-berkshire-shows-maintained-stake-in-apple,Benzinga Newsdesk,,,,,,
2020-05-15 00:00:00 UTC,US To Block Shipments Of Semiconductors To Huawei: Report,AAPL,https://www.benzinga.com/news/20/05/16043843/us-to-block-shipments-of-semiconductors-to-huawei-report,Tanzeel Akhtar,,,,,,
2020-05-15 00:00:00 UTC,Quick Retreat: Impressive Thursday Turnaround Halted in Its Tracks Amid Fresh Trade Tiff,AAPL,https://www.benzinga.com/news/20/05/16043881/quick-retreat-impressive-thursday-turnaround-halted-in-its-tracks-amid-fresh-trade-tiff,JJ Kinahan,,,,,,
2020-05-15 00:00:00 UTC,Apple shares are trading lower on reports the company is among those China could retaliate against after the US announced it will block chip shipments from Huawei.,AAPL,https://www.benzinga.com/wiim/20/05/16043287/apple-shares-are-trading-lower-on-reports-the-company-is-among-those-china-could-retaliate-against-a,Benzinga Newsdesk,,,,,,
2020-05-15 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Up Ahead Of Economic Reports,AAPL,https://www.benzinga.com/news/earnings/20/05/16040592/a-peek-into-the-markets-us-stock-futures-up-ahead-of-economic-reports,Lisa Levin,,,,,,
2020-05-15 00:00:00 UTC,Amazon To Manufacture Face Shields And Sell Them At Cost,AAPL,https://www.benzinga.com/news/20/05/16039930/amazon-to-manufacture-face-shields-and-sell-them-at-cost,Shivdeep Dhaliwal,,,,,,
2020-05-14 00:00:00 UTC,Taiwanese Apple Supplier TSMC To Build $12B US Chip Factory After Months Of Pressure From Trump Administration,AAPL,https://www.benzinga.com/government/20/05/16039980/taiwanese-apple-supplier-tsmc-to-build-12b-us-chip-factory-after-months-of-pressure-from-trump-admin,Neer Varshney,,,,,,
2020-05-14 00:00:00 UTC,Apple Confirms Acquisition Of Virtual Reality Startup NextVR,AAPL,https://www.benzinga.com/m-a/20/05/16039893/apple-confirms-acquisition-of-virtual-reality-startup-nextvr,Neer Varshney,,,,,,
2020-05-14 00:00:00 UTC,'Apple supplier TSMC is reportedly building an Arizona chip plant' -The Verge,AAPL,https://www.benzinga.com/tech/20/05/16038329/apple-supplier-tsmc-is-reportedly-building-an-arizona-chip-plant-the-verge,Benzinga Newsdesk,,,,,,
2020-05-14 00:00:00 UTC,The Mixed Sony Effect,AAPL,https://www.benzinga.com/news/earnings/20/05/16032933/the-mixed-sony-effect,IAM Newswire,,,,,,
2020-05-14 00:00:00 UTC,Report: FBI Seizes Sen. Richard Burr's Phone In Investigation Of Coronavirus Stock Sell-Off,AAPL,https://www.benzinga.com/news/20/05/16030695/report-fbi-seizes-sen-richard-burrs-phone-in-investigation-of-coronavirus-stock-sell-off,Tanzeel Akhtar,,,,,,
2020-05-13 00:00:00 UTC,Apple Plans To Bring Employees Back To Office Even As Tech Peers Hold Off,AAPL,https://www.benzinga.com/news/20/05/16023383/apple-plans-to-bring-employees-back-to-office-even-as-tech-peers-hold-off,Shanthi Rexaline,,,,,,
2020-05-12 00:00:00 UTC,Apple Plans for More Workers to Go Back to Offices Over Months,AAPL,https://www.benzinga.com/news/20/05/16016882/apple-plans-for-more-workers-to-go-back-to-offices-over-months,Charles Gross,,,,,,
2020-05-12 00:00:00 UTC,Apple Unveils Update To Logic Pro,AAPL,https://www.benzinga.com/tech/20/05/16009887/apple-unveils-update-to-logic-pro,Benzinga Newsdesk,,,,,,
2020-05-12 00:00:00 UTC,Not Just Fun And Games: How Esports Could Offer Potential Investment Opportunities,AAPL,https://www.benzinga.com/general/education/20/05/16008509/not-just-fun-and-games-how-esports-could-offer-potential-investment-opportunities,TD Ameritrade,,,,,,
2020-05-12 00:00:00 UTC,Disney Plans Another Bonds Offering With A Six-Part Deal,AAPL,https://www.benzinga.com/news/20/05/16007581/disney-plans-another-bonds-offering-with-a-six-part-deal,Neer Varshney,,,,,,
2020-05-11 00:00:00 UTC,Cruise Line Earnings Later This Week Could Provide Insight On Brutal Quarter For Industry,AAPL,https://www.benzinga.com/news/earnings/20/05/16001483/cruise-line-earnings-later-this-week-could-provide-insight-on-brutal-quarter-for-industry,JJ Kinahan,,,,,,
2020-05-08 00:00:00 UTC,Apple Option Alert: May 15 $315 Calls Sweep (52) near the Ask: 354 @ $2.154 vs 6982 OI; Ref=$309.45,AAPL,https://www.benzinga.com/news/20/05/15992528/apple-option-alert-may-15-315-calls-sweep-52-near-the-ask-354-2-154-vs-6982-oi-ref-309-45,Charles Gross,,,,,,
2020-05-08 00:00:00 UTC,Apple To Reopen Germany Retail Stores May 11,AAPL,https://www.benzinga.com/news/20/05/15990120/apple-to-reopen-germany-retail-stores-may-11,Benzinga Newsdesk,,,,,,
